date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:35:46	77/77	---M--	200	added ('OK')	text/plain	etag:%224d-5bcfddac6307f%22	https://homunculus.jp/robots.txt		(from )
13:35:46	11284/11284	---MCZ	200	added ('OK')	text/html	etag:W/%222c14-5c43c4c7e9800%22	https://homunculus.jp/	D:/kdport/homunculus.jp/index.html	(from )
13:35:46	3638/3638	---MCZ	200	added ('OK')	image/vnd.microsoft.icon	etag:W/%22e36-5bcfddac0835d%22	https://homunculus.jp/favicon.ico	D:/kdport/homunculus.jp/favicon.ico	(from https://homunculus.jp/)
13:35:46	2431/2431	---MCZ	200	added ('OK')	text/css	etag:W/%2297f-5b61b0eaacc80%22	https://homunculus.jp/manage/wp-content/themes/homunculus/assets/css/yakuhanjp-noto.min.css	D:/kdport/homunculus.jp/manage/wp-content/themes/homunculus/assets/css/yakuhanjp-noto.min.css	(from https://homunculus.jp/)
13:35:47	2050/2050	---M-Z	200	added ('OK')	text/css	date:Thu,%2007%20Sep%202023%2008:05:48%20GMT	https://use.typekit.net/rjz2hfg.css	D:/kdport/use.typekit.net/rjz2hfg.css	(from https://homunculus.jp/)
13:35:47	743582/743582	---MCZ	200	added ('OK')	application/javascript	etag:W/%22b589e-5ba17cf456900%22	https://homunculus.jp/manage/wp-content/themes/homunculus/assets/js/lib/lib.js	D:/kdport/homunculus.jp/manage/wp-content/themes/homunculus/assets/js/lib/lib.js	(from https://homunculus.jp/)
13:35:47	26585/26585	---MCZ	200	added ('OK')	text/css	etag:W/%2267d9-5c42b4a50cb40%22	https://homunculus.jp/manage/wp-content/themes/homunculus/assets/css/base.css	D:/kdport/homunculus.jp/manage/wp-content/themes/homunculus/assets/css/base.css	(from https://homunculus.jp/)
13:35:47	113857/113857	---MCZ	200	added ('OK')	application/javascript	etag:W/%221bcc1-5ce99ddea6f00%22	https://homunculus.jp/manage/wp-content/themes/homunculus/assets/js/main.min.js?v=20210605	D:/kdport/homunculus.jp/manage/wp-content/themes/homunculus/assets/js/main.min523a.js	(from https://homunculus.jp/)
13:35:47	4148/4148	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%221034-5b61b0eaacc80%22	https://homunculus.jp/manage/wp-content/themes/homunculus/assets/fonts/YakuHanJP/YakuHanJP-Thin.eot	D:/kdport/homunculus.jp/manage/wp-content/themes/homunculus/assets/fonts/YakuHanJP/YakuHanJP-Thin.eot	(from https://homunculus.jp/manage/wp-content/themes/homunculus/assets/css/yakuhanjp-noto.min.css)
13:35:48	3512/3512	---M--	200	added ('OK')	application/octet-stream	etag:%22db8-5b61b0eaacc80%22	https://homunculus.jp/manage/wp-content/themes/homunculus/assets/fonts/YakuHanJP/YakuHanJP-Thin.woff2	D:/kdport/homunculus.jp/manage/wp-content/themes/homunculus/assets/fonts/YakuHanJP/YakuHanJP-Thin.woff2	(from https://homunculus.jp/manage/wp-content/themes/homunculus/assets/css/yakuhanjp-noto.min.css)
13:35:48	4076/4076	---MCZ	200	added ('OK')	application/font-woff	etag:W/%22fec-5b61b0eaacc80%22	https://homunculus.jp/manage/wp-content/themes/homunculus/assets/fonts/YakuHanJP/YakuHanJP-Thin.woff	D:/kdport/homunculus.jp/manage/wp-content/themes/homunculus/assets/fonts/YakuHanJP/YakuHanJP-Thin.woff	(from https://homunculus.jp/manage/wp-content/themes/homunculus/assets/css/yakuhanjp-noto.min.css)
13:35:48	4197/4197	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%221065-5b61b0eaacc80%22	https://homunculus.jp/manage/wp-content/themes/homunculus/assets/fonts/YakuHanJP/YakuHanJP-Light.eot	D:/kdport/homunculus.jp/manage/wp-content/themes/homunculus/assets/fonts/YakuHanJP/YakuHanJP-Light.eot	(from https://homunculus.jp/manage/wp-content/themes/homunculus/assets/css/yakuhanjp-noto.min.css)
13:35:48	3532/3532	---M--	200	added ('OK')	application/octet-stream	etag:%22dcc-5b61b0eaacc80%22	https://homunculus.jp/manage/wp-content/themes/homunculus/assets/fonts/YakuHanJP/YakuHanJP-Light.woff2	D:/kdport/homunculus.jp/manage/wp-content/themes/homunculus/assets/fonts/YakuHanJP/YakuHanJP-Light.woff2	(from https://homunculus.jp/manage/wp-content/themes/homunculus/assets/css/yakuhanjp-noto.min.css)
13:35:49	4112/4112	---MCZ	200	added ('OK')	application/font-woff	etag:W/%221010-5b61b0eaacc80%22	https://homunculus.jp/manage/wp-content/themes/homunculus/assets/fonts/YakuHanJP/YakuHanJP-Light.woff	D:/kdport/homunculus.jp/manage/wp-content/themes/homunculus/assets/fonts/YakuHanJP/YakuHanJP-Light.woff	(from https://homunculus.jp/manage/wp-content/themes/homunculus/assets/css/yakuhanjp-noto.min.css)
13:35:49	4146/4146	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%221032-5b61b0eaacc80%22	https://homunculus.jp/manage/wp-content/themes/homunculus/assets/fonts/YakuHanJP/YakuHanJP-Regular.eot	D:/kdport/homunculus.jp/manage/wp-content/themes/homunculus/assets/fonts/YakuHanJP/YakuHanJP-Regular.eot	(from https://homunculus.jp/manage/wp-content/themes/homunculus/assets/css/yakuhanjp-noto.min.css)
13:35:49	3500/3500	---M--	200	added ('OK')	application/octet-stream	etag:%22dac-5b61b0eaacc80%22	https://homunculus.jp/manage/wp-content/themes/homunculus/assets/fonts/YakuHanJP/YakuHanJP-Regular.woff2	D:/kdport/homunculus.jp/manage/wp-content/themes/homunculus/assets/fonts/YakuHanJP/YakuHanJP-Regular.woff2	(from https://homunculus.jp/manage/wp-content/themes/homunculus/assets/css/yakuhanjp-noto.min.css)
13:35:49	4080/4080	---MCZ	200	added ('OK')	application/font-woff	etag:W/%22ff0-5b61b0eaacc80%22	https://homunculus.jp/manage/wp-content/themes/homunculus/assets/fonts/YakuHanJP/YakuHanJP-Regular.woff	D:/kdport/homunculus.jp/manage/wp-content/themes/homunculus/assets/fonts/YakuHanJP/YakuHanJP-Regular.woff	(from https://homunculus.jp/manage/wp-content/themes/homunculus/assets/css/yakuhanjp-noto.min.css)
13:35:49	4208/4208	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%221070-5b61b0eaacc80%22	https://homunculus.jp/manage/wp-content/themes/homunculus/assets/fonts/YakuHanJP/YakuHanJP-Medium.eot	D:/kdport/homunculus.jp/manage/wp-content/themes/homunculus/assets/fonts/YakuHanJP/YakuHanJP-Medium.eot	(from https://homunculus.jp/manage/wp-content/themes/homunculus/assets/css/yakuhanjp-noto.min.css)
13:35:50	3508/3508	---M--	200	added ('OK')	application/octet-stream	etag:%22db4-5b61b0eaacc80%22	https://homunculus.jp/manage/wp-content/themes/homunculus/assets/fonts/YakuHanJP/YakuHanJP-Medium.woff2	D:/kdport/homunculus.jp/manage/wp-content/themes/homunculus/assets/fonts/YakuHanJP/YakuHanJP-Medium.woff2	(from https://homunculus.jp/manage/wp-content/themes/homunculus/assets/css/yakuhanjp-noto.min.css)
13:35:50	4108/4108	---MCZ	200	added ('OK')	application/font-woff	etag:W/%22100c-5b61b0eaacc80%22	https://homunculus.jp/manage/wp-content/themes/homunculus/assets/fonts/YakuHanJP/YakuHanJP-Medium.woff	D:/kdport/homunculus.jp/manage/wp-content/themes/homunculus/assets/fonts/YakuHanJP/YakuHanJP-Medium.woff	(from https://homunculus.jp/manage/wp-content/themes/homunculus/assets/css/yakuhanjp-noto.min.css)
13:35:50	4214/4214	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%221076-5b61b0eaacc80%22	https://homunculus.jp/manage/wp-content/themes/homunculus/assets/fonts/YakuHanJP/YakuHanJP-Bold.eot	D:/kdport/homunculus.jp/manage/wp-content/themes/homunculus/assets/fonts/YakuHanJP/YakuHanJP-Bold.eot	(from https://homunculus.jp/manage/wp-content/themes/homunculus/assets/css/yakuhanjp-noto.min.css)
13:35:50	3564/3564	---M--	200	added ('OK')	application/octet-stream	etag:%22dec-5b61b0eaacc80%22	https://homunculus.jp/manage/wp-content/themes/homunculus/assets/fonts/YakuHanJP/YakuHanJP-Bold.woff2	D:/kdport/homunculus.jp/manage/wp-content/themes/homunculus/assets/fonts/YakuHanJP/YakuHanJP-Bold.woff2	(from https://homunculus.jp/manage/wp-content/themes/homunculus/assets/css/yakuhanjp-noto.min.css)
13:35:51	4140/4140	---MCZ	200	added ('OK')	application/font-woff	etag:W/%22102c-5b61b0eaacc80%22	https://homunculus.jp/manage/wp-content/themes/homunculus/assets/fonts/YakuHanJP/YakuHanJP-Bold.woff	D:/kdport/homunculus.jp/manage/wp-content/themes/homunculus/assets/fonts/YakuHanJP/YakuHanJP-Bold.woff	(from https://homunculus.jp/manage/wp-content/themes/homunculus/assets/css/yakuhanjp-noto.min.css)
13:35:51	4183/4183	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%221057-5b61b0eaacc80%22	https://homunculus.jp/manage/wp-content/themes/homunculus/assets/fonts/YakuHanJP/YakuHanJP-Black.eot	D:/kdport/homunculus.jp/manage/wp-content/themes/homunculus/assets/fonts/YakuHanJP/YakuHanJP-Black.eot	(from https://homunculus.jp/manage/wp-content/themes/homunculus/assets/css/yakuhanjp-noto.min.css)
13:35:51	3524/3524	---M--	200	added ('OK')	application/octet-stream	etag:%22dc4-5b61b0eaacc80%22	https://homunculus.jp/manage/wp-content/themes/homunculus/assets/fonts/YakuHanJP/YakuHanJP-Black.woff2	D:/kdport/homunculus.jp/manage/wp-content/themes/homunculus/assets/fonts/YakuHanJP/YakuHanJP-Black.woff2	(from https://homunculus.jp/manage/wp-content/themes/homunculus/assets/css/yakuhanjp-noto.min.css)
13:35:51	4112/4112	---MCZ	200	added ('OK')	application/font-woff	etag:W/%221010-5b61b0eaacc80%22	https://homunculus.jp/manage/wp-content/themes/homunculus/assets/fonts/YakuHanJP/YakuHanJP-Black.woff	D:/kdport/homunculus.jp/manage/wp-content/themes/homunculus/assets/fonts/YakuHanJP/YakuHanJP-Black.woff	(from https://homunculus.jp/manage/wp-content/themes/homunculus/assets/css/yakuhanjp-noto.min.css)
13:35:51	5/5	---M--	200	added ('OK')	text/css	etag:%2264b144ac-5%22	https://p.typekit.net/p.css?s=1&k=rjz2hfg&ht=tk&f=36602.36606&a=2277830&app=typekit&e=css	D:/kdport/p.typekit.net/p5c49.css	(from https://use.typekit.net/rjz2hfg.css)
13:35:52	36768/36768	---M--	200	added ('OK')	application/font-woff2	etag:%22e873d7082bf4ea4fa5165b30791a0935b8a56aba%22	https://use.typekit.net/af/f1d51b/00000000000000007735a83d/30/l?primer=7cdcb44be4a7db8877ffa5c0007b8dd865b3bbc383831fe2ea177f62257a9191&fvd=n4&v=3	D:/kdport/use.typekit.net/af/f1d51b/00000000000000007735a83d/30/le196	(from https://use.typekit.net/rjz2hfg.css)
